# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May  9 01:11:38 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_discmethod like '%transit%'
# CONSTRAINT:  and pl_orbsmaxstr > 0
# CONSTRAINT:  and pl_orbeccenstr > 0
# CONSTRAINT:  and pl_orbinclstr > 0
# CONSTRAINT:  and pl_bmassjstr > 0
# CONSTRAINT:  and pl_radjstr > 0
# CONSTRAINT:  and pl_densstr > 0)
# CONSTRAINT:  order by pl_name desc, pl_bmassj asc
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
#
pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim
WTS-1 b,Transit,1,3.35205700,0.00001300,-0.00001500,0,0.047000,0.001000,-0.001000,0,0.100000,,,1,85.500,1.000,-0.700,0,4.01000,0.35000,-0.35000,0,1.490,0.160,-0.180,0,1.61000,0.56000,-0.56000,0,3200.00,900.00,-400.00,0,16.430,,0,6250.00,200.00,-200.00,0,1.20,0.10,-0.10,0,1.15,0.10,-0.12,0
WASP-89 b,Transit,1,3.35642270,0.00000250,-0.00000250,0,0.042700,0.001200,-0.001200,0,0.193000,0.009000,-0.009000,0,89.400,0.500,-0.500,0,5.90000,0.40000,-0.40000,0,1.040,0.040,-0.040,0,7.00000,0.44000,-0.44000,0,293.38,2.69,-2.69,0,12.989,,0,5130.00,90.00,-90.00,0,0.92,0.08,-0.08,0,0.88,0.03,-0.03,0
WASP-81 b,Transit,1,2.71647620,0.00000230,-0.00000230,0,0.039080,0.000700,-0.000720,0,0.066000,,,1,88.690,0.880,-0.920,0,0.72900,0.03600,-0.03500,0,1.429,0.051,-0.046,0,0.33200,0.03100,-0.03100,0,402.96,7.11,-7.11,0,12.333,,0,5870.00,120.00,-120.00,0,1.08,0.06,-0.06,0,1.28,0.04,-0.04,0
WASP-80 b,Transit,1,3.06785234,0.00000083,-0.00000079,0,0.034400,0.001000,-0.001100,0,0.002000,0.010000,-0.002000,0,89.020,0.110,-0.100,0,0.53800,0.03500,-0.03600,0,0.999,0.030,-0.031,0,0.71700,0.03900,-0.03200,0,60.00,20.00,-20.00,0,11.273,,0,4143.00,92.00,-94.00,0,0.58,0.05,-0.05,0,0.59,0.02,-0.02,0
WASP-59 b,Transit,1,7.91958500,0.00001000,-0.00001000,0,0.069700,0.001100,-0.001100,0,0.100000,0.042000,-0.042000,0,89.270,0.520,-0.520,0,0.86300,0.04500,-0.04500,0,0.775,0.068,-0.068,0,2.40000,0.70000,-0.70000,0,125.00,25.00,-25.00,0,12.314,,0,4650.00,150.00,-150.00,0,0.72,0.04,-0.04,0,0.61,0.04,-0.04,0
WASP-53 b,Transit,2,3.30984430,0.00000200,-0.00000200,0,0.041010,0.000830,-0.000910,0,0.030000,,,1,87.080,0.160,-0.150,0,2.13200,0.09200,-0.09400,0,1.074,0.037,-0.037,0,2.28000,0.20000,-0.17000,0,202.51,1.38,-1.38,0,12.347,,0,4953.00,60.00,-60.00,0,0.84,0.05,-0.05,0,0.80,0.02,-0.02,0
WASP-5 b,Transit,1,1.62842790,0.00000220,-0.00000490,0,0.026700,0.001200,-0.000800,0,0.038000,0.026000,-0.018000,0,86.900,2.800,-0.700,0,1.58000,0.13000,-0.10000,0,1.087,0.068,-0.071,0,1.64000,0.35000,-0.21000,0,300.00,50.00,-50.00,0,11.996,,0,5700.00,100.00,-100.00,0,0.96,0.13,-0.09,0,1.03,0.06,-0.07,0
WASP-19 b,Transit,1,0.78883899,0.00000004,-0.00000004,0,0.016340,0.000240,-0.000240,0,0.002000,0.014000,-0.002000,0,78.780,0.580,-0.580,0,1.06900,0.03800,-0.03700,0,1.392,0.040,-0.040,0,0.49200,0.04600,-0.04600,0,250.00,80.00,-60.00,0,12.109,,0,5568.00,71.00,-71.00,0,0.90,0.04,-0.04,0,1.00,0.02,-0.02,0
WASP-162 b,Transit,1,9.62468000,0.00001000,-0.00001000,0,0.087100,0.001300,-0.001300,0,0.434000,0.005000,-0.005000,0,89.300,0.500,-0.500,0,5.20000,0.20000,-0.20000,0,1.000,0.050,-0.050,0,6.90000,0.80000,-0.80000,0,313.60,4.11,-4.11,0,12.065,,0,5300.00,100.00,-100.00,0,0.95,0.04,-0.04,0,1.11,0.05,-0.05,0
WASP-156 b,Transit,1,3.83616900,0.00000300,-0.00000300,0,0.045300,0.000900,-0.000900,0,0.007000,,,1,89.100,0.600,-0.900,0,0.12800,0.01000,-0.00900,0,0.510,0.020,-0.020,0,1.30000,0.10000,-0.10000,0,140.00,25.00,-25.00,0,11.323,,0,4910.00,61.00,-61.00,0,0.84,0.05,-0.05,0,0.76,0.03,-0.03,0
WASP-153 b,Transit,1,3.33260900,0.00000200,-0.00000200,0,0.048000,0.001000,-0.001000,0,0.009000,,,1,84.100,0.700,-0.700,0,0.39000,0.02000,-0.02000,0,1.550,0.100,-0.080,0,0.15000,0.03000,-0.03000,0,430.00,35.00,-35.00,0,12.497,,0,5914.00,64.00,-64.00,0,1.34,0.09,-0.09,0,1.73,0.10,-0.09,0
WASP-151 b,Transit,1,4.53347100,0.00000400,-0.00000400,0,0.055000,0.001000,-0.001000,0,0.003000,,,1,89.200,0.600,-0.600,0,0.31000,0.04000,-0.03000,0,1.130,0.030,-0.030,0,0.29000,0.04000,-0.03000,0,458.91,10.02,-10.02,0,12.628,,0,5871.00,57.00,-57.00,0,1.08,0.08,-0.08,0,1.14,0.03,-0.03,0
WASP-140 b,Transit,1,2.23598350,0.00000080,-0.00000080,0,0.032300,0.000500,-0.000500,0,0.047000,0.003500,-0.003500,0,83.300,0.500,-0.800,0,2.44000,0.07000,-0.07000,0,1.440,0.420,-0.180,0,1.10000,0.50000,-0.50000,0,180.00,30.00,-30.00,0,10.820,,0,5260.00,100.00,-100.00,0,0.90,0.04,-0.04,0,0.87,0.04,-0.04,0
