radius,radius_err,flux,flux_err,mass,mass_err,logF,logF_err
1.49,0.08,2470852.6488799998,731476.418256,1.02979,0.12356600000000001,6.39284684670259,0.13253621323124065
1.44,0.13,823986.3319890002,249108.66331799998,0.9191799999999999,0.0706803,5.915920007824558,0.1355313653824357
0.885,0.013999999999999999,555365.0324350001,71518.63696569999,1.3109899999999999,0.07742589999999999,5.744578531700517,0.05623972320243986
1.17,0.14,358477.622921,159771.233331,0.537982,0.0875118,5.554462051091007,0.20816325991090825
1.29,0.03,1622955.71435,163820.035463,1.10792,0.0644029,6.210306669379019,0.04398718629569043
1.26,0.13,1189199.01434,321026.836554,0.479479,0.07282469999999999,6.075254540570843,0.12021801798845955
0.955,0.066,659021.052214,193313.064253,0.484,0.087,5.818899288212124,0.1312480925986863
0.9,0.16,355191.500779,217544.724862,0.85,0.2,5.5504625651894965,0.30959430487044637
1.19,0.055,289123.175837,22956.4926771,0.7174189999999999,0.07238969999999999,5.461082905695928,0.03455589166863194
1.3880000000000001,0.046,903476.839973,108425.550117,0.462537,0.039512900000000004,5.955917024189874,0.05237173760347202
1.05,0.04,5978.30226257,923.874590024,0.843564,0.07238760000000001,3.7765778691588747,0.06765704830771968
1.242,0.053,586526.624625,111552.105545,0.532369,0.0303524,5.768287731140847,0.08361704697894412
1.281,0.079,1498395.24997,281771.450458,0.85708,0.035382300000000005,6.175626387621927,0.0826521825349924
1.072,0.043,135342.56186,20046.379483,1.95154,0.0755914,5.131434392859223,0.06480259022793344
1.01,0.028999999999999998,77905.4975967,9319.81797178,0.530158,0.019521900000000002,4.891568105832588,0.05220455142967584
1.242,0.067,1467890.30392,253986.351055,0.6858569999999999,0.0362279,6.16669360177741,0.07590885616302323
1.19,0.081,429900.737995,73340.75916649999,0.567181,0.0263065,5.633368190655228,0.07482192521579734
1.02,0.07,357801.534274,97411.21489310001,0.6174850000000001,0.029954500000000002,5.5536421985156,0.12129479129111242
1.212,0.0975,707909.98605,183373.17845799998,0.627833,0.0375046,5.8499780386967295,0.11511986722455345
1.107,0.109,476796.236396,141261.666972,0.779004,0.0641995,5.6783328186304605,0.13264594652163275
0.899,0.043,368790.665277,63222.04221360001,0.595712,0.0248415,5.566779919783991,0.07519388220512324
1.34,0.065,1493383.5562,223878.615496,0.711088,0.035437800000000005,6.1741713649573375,0.06560110392888685
1.7890000000000001,0.025,2183178.05746,207228.109192,0.861516,0.165246,6.3390891577058435,0.041347880499351675
1.686,0.045,2145368.09638,221021.78242399998,0.763256,0.102748,6.331501817971324,0.04490153342131542
1.3319999999999999,0.098,1252091.51225,251304.542421,1.0542200000000002,0.040009300000000005,6.09763607153639,0.08836588198072803
1.264,0.071,2212857.9794400004,427627.93854400003,1.83923,0.10036,6.344953541932345,0.0849948346914755
1.178,0.077,529494.3028770001,113225.890596,1.17362,0.10516199999999999,5.723861291653338,0.09432424428750298
1.571,0.10800000000000001,1941379.72552,313185.511369,0.599196,0.0998597,6.288110489828763,0.07067829960428096
1.274,0.049,1698253.4672,276672.824072,0.671507,0.035913099999999996,6.230002509930976,0.07138969505929404
1.73,0.062,1880840.0970299998,487271.592933,0.6202,0.082426,6.274351874801085,0.11513692966683164
1.685,0.076,2972203.9579,370531.46017800004,0.800254,0.10375699999999999,6.473078608167696,0.054424688459687065
1.28,0.153,793979.145292,241330.99059499998,1.044,0.083,5.899809095369727,0.1363108708079701
